Campo magnetico (T);Voltaje de hall (microV)
0,02529189;1
0,190711465;3
0,227499525;3
0,287475713;4
0,335365774;5
0,35613104;6
0,392919099;6
0,409384248;7
0,452895288;8
0,46579843;9
0,489683347;9
0,521550614;11
0,540652806;11
0,549659536;12
0,590205941;13
0,624853627;14
0,666204924;15
0,740223397;16
0,839624689;17
